activity,rule_score,cf_score,,,,,
gym workout,0.605028,0.336981221,,,,,
swimming,0.604372,0.335858561,,,,,
walking,0.604323,0.335405396,,,,,
cycling,0.603336,0.334663763,,,,,
running,0.602882,0.332880818,,,,,
yoga,0.6007,0.334582736,,,,,
video watching,0.483626,0.220009964,,,,,
good meal,0.279063,0.212119097,,,,,
poetry,0.271481,0.270918911,,,,,
audio books,0.268558,0.210139774,,,,,
family,0.262109,0.325919938,,,,,
meditation,0.260106,0.224865962,,,,,
movies,0.249636,0.262650994,,,,,
social,0.24787,0.19282733,,,,,
podcast,0.243327,0.236492564,,,,,
shower,0.237907,0.23288153,,,,,
prayer,0.236646,0.224827794,,,,,
write dairy,0.235498,0.298852556,,,,,
power nap,0.227156,0.264013364,,,,,
friends,0.227149,0.304688001,,,,,
reading,0.223112,0.214641138,,,,,
songs,0.222631,0.222766725,,,,,
creative work,0.217285,0.222140415,,,,,
writing,0.214974,0.227938171,,,,,
cooking,0.213414,0.168977313,,,,,
cleaning,0.212388,0.231385194,,,,,
documentary,0.210416,0.253908007,,,,,
art,0.207928,0.242434173,,,,,
breathing,0.199234,0.309847337,,,,,
